省份,百度指数
上海市,173.0033108877589
云南省,141.9283373722125
内蒙古自治区,126.1471510452531
北京市,225.04214421447114
台湾省,57.36612903225806
吉林省,121.7350854454685
四川省,198.8331892689408
天津市,126.20231374807987
宁夏回族自治区,81.18920409817662
安徽省,158.62881883750904
山东省,217.89257982855727
山西省,154.43826083949833
广东省,256.2322241313099
广西壮族自治区,146.8402970341826
新疆维吾尔自治区,108.79303113614849
江苏省,228.80315065681444
江西省,142.25071110757986
河北省,176.72357298453304
河南省,194.4032492010523
浙江省,222.78189313081558
海南省,92.7272880683749
湖北省,169.3662954980843
湖南省,169.91112010479017
澳门特别行政区,63.425416502689224
甘肃省,113.39081088775889
福建省,159.85088596014972
西藏自治区,68.30880612851824
贵州省,131.9344069468722
辽宁省,149.29505397310945
重庆市,160.37861959717145
陕西省,159.02860795504705
青海省,75.51769775429229
香港特别行政区,65.36615257986195
黑龙江省,126.72613386567086
