,名称,类别,申报单位,保护单位
0,苗族古歌,新增项目,贵州省台江县,台江县非物质文化遗产保护中心
1,苗族古歌,新增项目,贵州省黄平县,黄平县非物质文化遗产保护中心
2,苗族古歌,扩展项目,湖南省花垣县,花垣县非物质文化遗产保护中心
3,苗族古歌（簪汪传）,扩展项目,贵州省贵阳市清镇市,清镇市文化馆
4,布洛陀,新增项目,广西壮族自治区田阳县,田阳县文化馆
5,遮帕麻和遮咪麻,新增项目,云南省梁河县,梁河县文化馆
6,牡帕密帕,新增项目,云南省思茅市,澜沧拉祜族自治县文化馆
7,刻道,新增项目,贵州省施秉县,施秉县非物质文化遗产保护中心
8,白蛇传传说,新增项目,江苏省镇江市,镇江市非物质文化遗产保护中心
9,白蛇传传说,新增项目,浙江省杭州市,杭州市文化馆（杭州市非物质文化遗产保护中心）
10,梁祝传说,新增项目,江苏省宜兴市,宜兴市华夏梁祝文化研究会
11,梁祝传说,新增项目,浙江省宁波市,宁波梁祝文化园管理有限公司
12,梁祝传说,新增项目,浙江省杭州市,杭州市文化馆（杭州市非物质文化遗产保护中心）
13,梁祝传说,新增项目,浙江省上虞市,绍兴市上虞区文化馆（区非物质遗产保护中心）
14,梁祝传说,新增项目,山东省济宁市,济宁市梁祝文化研究会
15,梁祝传说,新增项目,河南省汝南县,汝南县文化馆
16,孟姜女传说,新增项目,山东省淄博市,淄博市淄川区公共文化服务中心（加挂淄川区文化馆、淄川区美术馆牌子）
17,孟姜女传说,扩展项目,河北省秦皇岛市,秦皇岛市山海关区文化馆
18,孟姜女传说,扩展项目,湖南省津市市,津市市文化馆（津市市美术馆）
19,孟姜女传说,扩展项目,山东省莒县,莒县文化馆
20,孟姜女传说,扩展项目,山东省莱芜市莱城区,济南市文化馆（济南市非物质文化遗产保护中心、济南市艺术创作研究院）
21,董永传说,新增项目,山西省万荣县,万荣县文化馆
22,董永传说,新增项目,江苏省东台市,东台市文化馆
23,董永传说,新增项目,河南省武陟县,武陟县董永文化服务中心
24,董永传说,新增项目,湖北省孝感市,孝感市群众艺术馆（孝感市非物质文化遗产保护中心）
25,董永传说,扩展项目,江苏省金坛市,常州市金坛区文化馆
26,董永传说,扩展项目,山东省博兴县,博兴县文化馆
27,董永传说,扩展项目,江苏省丹阳市,丹阳市文化馆
28,西施传说,新增项目,浙江省诸暨市,诸暨市博物馆
29,济公传说,新增项目,浙江省天台县,台州市天台山文化研究会
30,满族说部,新增项目,吉林省,吉林省艺术研究院（吉林省文化行业特有工种职业技能鉴定站、吉林省东北二人转博物馆、吉林省非物质文化遗产保护中心）
31,满族说部（孙吴县满语故事）,扩展项目,黑龙江省黑河市孙吴县,孙吴县文化馆
32,河西宝卷,新增项目,甘肃省武威市凉州区,凉州区文化馆
33,河西宝卷,新增项目,甘肃省酒泉市肃州区,肃州区文化馆
34,宝卷（靖江宝卷）,扩展项目,江苏省靖江市,靖江市文化馆
35,宝卷（河西宝卷）,扩展项目,甘肃省张掖市,张掖市文化馆（张掖市非物质文化遗产传承保护中心）
36,宝卷（吴地宝卷）,扩展项目,江苏省苏州市,苏州市非物质文化遗产保护管理办公室（苏州市文化研究中心）
37,宝卷（岷县宝卷）,扩展项目,甘肃省定西市岷县,岷县文化馆
38,耿村民间故事,新增项目,河北省藁城市,石家庄市藁城区文化馆
39,伍家沟民间故事,新增项目,湖北省丹江口市,丹江口市文化馆
40,下堡坪民间故事,新增项目,湖北省宜昌市夷陵区,宜昌市夷陵区文化馆
41,走马镇民间故事,新增项目,重庆市九龙坡区,重庆市九龙坡区文化馆
42,古渔雁民间故事,新增项目,辽宁省大洼县,盘锦市大洼区文化体育旅游发展促进中心（大洼区总工会文体活动管理中心）
43,喀左东蒙民间故事,新增项目,辽宁省喀喇沁左翼蒙古族自治县,喀喇沁左翼蒙古族自治县公共文化和广播电视工作服务中心
44,谭振山民间故事,新增项目,辽宁省新民市,新民市文化馆（新民市考古和文物保护中心）
45,河间歌诗,新增项目,河北省河间市,河间市文化馆
46,吴歌,新增项目,江苏省苏州市,苏州市非物质文化遗产保护管理办公室（苏州市文化研究中心）
47,吴歌,扩展项目,江苏省无锡市,无锡市锡山区吴歌锡剧研究会
48,吴歌,扩展项目,上海市青浦区,上海市青浦区文化馆（上海青浦画院）
49,刘三姐歌谣,新增项目,广西壮族自治区宜州市,河池市宜州区刘三姐文化传承中心（河池市宜州区非物质文化遗产保护中心）
50,四季生产调,新增项目,云南省红河哈尼族彝族自治州,红河哈尼族彝族自治州非物质文化遗产保护中心
51,玛纳斯,新增项目,新疆维吾尔自治区克孜勒苏柯尔克孜自治州,克孜勒苏柯尔克孜自治州非物质文化遗产保护（玛纳斯保护研究）中心
52,玛纳斯,新增项目,新疆维吾尔自治区文联民间文艺家协会,新疆维吾尔自治区民间文艺家协会，新疆维吾尔自治区艺术研究所（新疆维吾尔自治区非物质文化遗产保护研究中心）
53,江格尔,新增项目,新疆维吾尔自治区和布克塞尔蒙古自治县,和布克赛尔蒙古自治县非物质文化遗产保护中心
54,江格尔,新增项目,新疆维吾尔自治区博尔塔拉蒙古自治州,博尔塔拉蒙古自治州文化馆
55,江格尔,新增项目,新疆维吾尔自治区巴音郭楞蒙古自治州,新疆巴音郭楞蒙古自治州文化馆
56,江格尔,新增项目,新疆维吾尔自治区文联民间文艺家协会,新疆维吾尔自治区民间文艺家协会
57,江格尔,扩展项目,内蒙古自治区,内蒙古自治区艺术研究院（内蒙古自治区非物质文化遗产保护中心）
58,格萨（斯）尔,新增项目,内蒙古自治区,内蒙古自治区少数民族古籍征集研究室
59,格萨（斯）尔,新增项目,四川省,甘孜藏族自治州文化馆
60,格萨（斯）尔,新增项目,云南省,迪庆藏族自治州非物质文化遗产保护中心
61,格萨（斯）尔,新增项目,西藏自治区,西藏自治区文化厅
62,格萨（斯）尔,新增项目,甘肃省,西北民族大学
63,格萨（斯）尔,新增项目,青海省,青海省文学艺术界联合会
64,格萨（斯）尔,新增项目,新疆维吾尔自治区,新疆维吾尔自治区民间文艺家协会
65,格萨（斯）尔,新增项目,中国社会科学院《格萨（斯）尔》办公室,中国社会科学院《格萨（斯）尔》办公室
66,格萨（斯）尔,扩展项目,内蒙古自治区巴林右旗,巴林右旗格斯尔文化研究发展中心
67,阿诗玛,新增项目,云南省石林彝族自治县,石林彝族自治县阿诗玛文化传承与保护中心（石林彝族自治县阿诗玛文化研究所、石林彝族自治县非物质文化遗产保护中心）
68,拉仁布与吉门索,新增项目,青海省互助土族自治县,互助土族自治县文化馆
69,畲族小说歌,新增项目,福建省霞浦县,霞浦县福宁文化艺术交流中心
70,青林寺谜语,新增项目,湖北省宜都市,宜都市文化馆（宜都市文艺创作室）
71,谜语（澄海灯谜）,扩展项目,广东省汕头市澄海区,汕头市澄海区文化馆
72,八达岭长城传说,新增项目,北京市延庆县,北京市延庆区博物馆（北京市延庆区文物管理所）
73,永定河传说,新增项目,北京市石景山区,北京市石景山区非物质文化遗产保护中心
74,杨家将传说（穆桂英传说）,新增项目,北京市房山区,北京市房山区燕山文化馆
75,杨家将传说（杨家将说唱）,新增项目,山西省,广灵县文化馆
76,杨家将传说（杨七郎墓传说）,扩展项目,天津市宁河县,天津市宁河区文化馆
77,尧的传说,新增项目,山西省绛县,绛县文化馆
78,尧的传说,扩展项目,山东省菏泽市牡丹区,菏泽市牡丹区文化馆
79,牛郎织女传说,新增项目,山西省和顺县,和顺县文化馆
80,牛郎织女传说,新增项目,山东省沂源县,沂源县文化馆（沂源县非物质文化遗产保护中心、沂源县书画院）
81,牛郎织女传说,扩展项目,陕西省西安市长安区,西咸新区沣东新城斗门街道办事处
82,西湖传说,新增项目,浙江省杭州市,杭州图书馆
83,刘伯温传说,新增项目,浙江省文成县,文成县非物质文化遗产保护中心
84,刘伯温传说,新增项目,浙江省青田县,青田县刘基研究会
85,黄初平（黄大仙）传说,新增项目,浙江省金华市,金华黄大仙文化研究会
86,观音传说,新增项目,浙江省舟山市,舟山市普陀山风景名胜区管理委员会
87,徐福东渡传说,新增项目,浙江省象山县,象山县文化馆
88,徐福东渡传说,新增项目,浙江省慈溪市,慈溪市徐福研究会
89,徐福传说,扩展项目,山东省胶南市,青岛市黄岛区琅琊暨徐福研究会
90,徐福传说,扩展项目,山东省青岛市黄岛区,青岛市黄岛区文化馆
91,徐福传说,扩展项目,江苏省赣榆县,连云港市赣榆区金山镇文化站
92,陶朱公传说,新增项目,山东省定陶县,菏泽市定陶区文化馆
93,麒麟传说,新增项目,山东省巨野县,巨野县文化馆
94,麒麟传说,新增项目,山东省嘉祥县,嘉祥县公共文化服务中心（嘉祥县图书馆、嘉祥县文化馆）
95,鲁班传说,新增项目,山东省曲阜市,曲阜市公共文化服务中心（曲阜市文化馆、曲阜市图书馆、曲阜市非物质文化遗产保护中心）
96,鲁班传说,新增项目,山东省滕州市,山东省滕州市文化馆
97,八仙传说,新增项目,山东省蓬莱市,蓬莱市文化馆
98,秃尾巴老李的传说,新增项目,山东省即墨市,青岛圣龙山旅游开发有限公司
99,秃尾巴老李的传说,新增项目,山东省莒县,莒县文化馆
100,秃尾巴老李的传说,新增项目,山东省文登市,威海市文登区文化馆（威海市文登区非物质文化遗产保护中心、威海市文登区美术馆）
101,秃尾巴老李的传说,新增项目,山东省诸城市,诸城市文化馆
102,屈原传说,新增项目,湖北省秭归县,秭归县文化馆（县非物质文化遗产保护中心）
103,王昭君传说,新增项目,湖北省兴山县,兴山县文化馆
104,炎帝神农传说,新增项目,湖北省随州市,随县文化馆（随县非物质文化遗产保护中心）
105,炎帝神农传说,新增项目,湖北省神农架林区,神农架林区群众艺术馆
106,木兰传说,新增项目,河南省虞城县,虞城县文化馆
107,木兰传说,新增项目,湖北省武汉市黄陂区,武汉市黄陂区文化馆（武汉市黄陂区非物质文化遗产保护中心）
108,木兰传说,扩展项目,陕西省延安市宝塔区,延安市宝塔区文化馆
109,巴拉根仓的故事,新增项目,内蒙古自治区通辽市,通辽市群众艺术馆
110,北票民间故事,新增项目,辽宁省北票市,北票市文旅体育事务服务中心（北票市博物馆、北票市文物考古研究所、北票市尹湛纳希纪念馆）
111,满族民间故事,新增项目,辽宁省文学艺术界联合会民间文艺家协会,辽宁省文化遗产保护中心（辽宁省非物质文化遗产保护中心）
112,徐文长故事,新增项目,浙江省绍兴市,绍兴市文化馆、绍兴市非物质文化遗产保护中心
113,崂山民间故事,新增项目,山东省青岛市崂山区,青岛市崂山区文化旅游产业协会
114,都镇湾故事,新增项目,湖北省长阳土家族自治县,长阳土家族自治县民族民间传统文化保护中心
115,盘古神话,新增项目,河南省桐柏县,桐柏县人民文化馆
116,盘古神话,新增项目,河南省泌阳县,泌阳县文化馆
117,邵原神话群,新增项目,河南省济源市,济源市邵原镇女娲文化研究基地
118,嘎达梅林,新增项目,内蒙古自治区科尔沁左翼中旗,科尔沁左翼中旗文化遗产保护中心
119,科尔沁潮尔史诗,新增项目,内蒙古自治区,内蒙古师范大学
120,仰阿莎,新增项目,贵州省黔东南苗族侗族自治州,黔东南苗族侗族自治州文化研究所
121,布依族盘歌,新增项目,贵州省盘县,盘州市非物质文化遗产保护中心
122,梅葛,新增项目,云南省楚雄彝族自治州,楚雄彝族自治州非物质文化遗产保护中心
123,查姆,新增项目,云南省双柏县,双柏县文化馆
124,达古达楞格莱标,新增项目,云南省德宏傣族景颇族自治州,德宏州文化馆
125,哈尼哈吧,新增项目,云南省元阳县,元阳县文化馆
126,召树屯与喃木诺娜,新增项目,云南省西双版纳傣族自治州,西双版纳傣族自治州文化馆
127,米拉尕黑,新增项目,甘肃省东乡族自治县,东乡族自治县文化馆
128,康巴拉伊,新增项目,青海省治多县,治多县民族语文工作中心
129,汗青格勒,新增项目,青海省海西蒙古族藏族自治州,海西州文化馆（海西州非物质文化遗产传承保护中心、 海西州民族文化体育活动中心）
130,维吾尔族达斯坦,新增项目,新疆维吾尔自治区,新疆维吾尔自治区民间文艺家协会
131,哈萨克族达斯坦,新增项目,新疆维吾尔自治区文学艺术界联合会民间文艺家协会,新疆维吾尔自治区民间文艺家协会
132,哈萨克族达斯坦,新增项目,新疆维吾尔自治区沙湾县,沙湾县文化馆
133,哈萨克族达斯坦,新增项目,新疆维吾尔自治区福海县,福海县文化馆
134,珠郎娘美,新增项目,贵州省榕江县,榕江县非物质文化遗产保护中心
135,珠郎娘美,新增项目,贵州省从江县,从江县非物质文化遗产保护中心
136,司岗里,新增项目,云南省沧源佤族自治县,沧源佤族自治县文化馆
137,司岗里,扩展项目,云南省西盟佤族自治县,西盟佤族自治县文化馆
138,彝族克智,新增项目,四川省美姑县,美姑县文化馆
139,苗族贾理,新增项目,贵州省黔东南苗族侗族自治州,黔东南苗族侗族自治州文化研究所
140,藏族婚宴十八说,新增项目,青海省,青海省文化馆
141,童谣（北京童谣）,新增项目,北京市宣武区,北京市宣武师范学校附属第一小学
142,童谣（闽南童谣）,新增项目,福建省厦门市,厦门市集美区灌口小学（福建省厦门实验小学集美分校）
143,童谣（绍兴童谣）,扩展项目,浙江省绍兴市,绍兴市文化馆、绍兴市非物质文化遗产保护中心
144,童谣（纳西族童谣）,扩展项目,云南省丽江市古城区,古城区非物质文化遗产保护管理中心
145,桐城歌,新增项目,安徽省桐城市,桐城市文化馆
146,土家族梯玛歌,新增项目,湖南省龙山县,龙山县非物质文化遗产保护中心
147,雷州歌,新增项目,广东省雷州市,雷州市雷歌研究会
148,壮族嘹歌,新增项目,广西壮族自治区平果县,平果市文化体育推广中心（平果市民俗文化传承展示中心）
149,柯尔克孜约隆,新增项目,新疆维吾尔自治区阿克陶县,新疆阿克陶县文化馆
150,柯尔克孜约隆,新增项目,新疆师范大学,新疆师范大学
151,笑话（万荣笑话）,新增项目,山西省万荣县,万荣县笑话发展协会
152,天坛传说,新增项目,北京市东城区,北京市天坛公园管理处
153,曹雪芹传说,新增项目,北京市海淀区,北京市植物园
154,契丹始祖传说,新增项目,河北省平泉县,平泉市文化馆
155,赵氏孤儿传说,新增项目,山西省盂县,盂县人民文化馆
156,白马拖缰传说,新增项目,山西省晋城市城区,晋城市城区文化馆
157,舜的传说,新增项目,山西省沁水县,沁水县文化馆
158,舜的传说,新增项目,山东省诸城市,诸城市文化馆
159,禹的传说,新增项目,四川省汶川县,汶川县文化馆
160,禹的传说,新增项目,四川省北川羌族自治县,北川羌族自治县文化馆
161,禹的传说（武汉大禹治水传说）,扩展项目,湖北省武汉市汉阳区,武汉市晴川阁管理处（武汉大禹文化博物馆）
162,防风传说,新增项目,浙江省德清县,德清县文化馆
163,盘瓠传说,新增项目,湖南省泸溪县,泸溪县非物质文化遗产保护中心
164,庄子传说,新增项目,山东省东明县,山东省东明县文化馆
165,柳毅传说,新增项目,山东省潍坊市寒亭区,潍坊市寒亭区文化馆
166,禅宗祖师传说,新增项目,湖北省黄梅县,黄梅县文化馆
167,禅宗祖师传说（六祖传说）,扩展项目,广东省云浮市新兴县,新兴县文化馆
168,布袋和尚传说,新增项目,浙江省奉化市,宁波市奉化区文化馆
169,钱王传说,新增项目,浙江省临安市,杭州市临安区文化馆（杭州市临安区非物质文化遗产保护中心）
170,苏东坡传说,新增项目,浙江省杭州市,杭州西湖博物馆总馆（西湖学研究院、杭州西湖风景名胜区网宣中心）
171,苏东坡传说,扩展项目,湖北省黄冈市,黄冈市群众艺术馆（黄冈市民俗博物馆）
