,位置,百度指数
0,七台河市,3.005479452
1,万宁市,1.098630137
2,三亚市,13.72054795
3,三明市,21.3369863
4,三门峡市,17.8630137
5,上海市,177.139726
6,上饶市,37
7,东方市,1.101369863
8,东莞市,100.5753425
9,东营市,26.0630137
10,中卫市,4.435616438
11,中山市,61.48767123
12,临夏回族自治州,11.72054795
13,临汾市,39.64109589
14,临沂市,88.63287671
15,临沧市,6.136986301
16,临高县市,1.561643836
17,丹东市,15.22739726
18,丽水市,23.44109589
19,丽江市,7.682191781
20,乌兰察布市,15.15890411
21,乌海市,5.728767123
22,乌鲁木齐市,85.30410959
23,乐东黎族自治县市,1.736986301
24,乐山市,19.53972603
25,九江市,40.9369863
26,云浮市,11.80547945
27,五家渠市,0.624657534
28,五指山市,0.780821918
29,亳州市,26.07671233
30,仙桃市,5.210958904
31,伊春市,5.252054795
32,伊犁市,23.43561644
33,佛山市,111.7150685
34,佳木斯市,24.73150685
35,保亭黎族苗族自治县市,0.156164384
36,保定市,89.71506849
37,保山市,6.465753425
38,信阳市,42.24109589
39,儋州市,7.043835616
40,克孜勒苏柯尔克孜自治州,0.62739726
41,克拉玛依市,5.761643836
42,六安市,23.7260274
43,六盘水市,11.66849315
44,兰州市,91.35890411
45,兴安盟,14.29041096
46,内江市,16.86027397
47,凉山彝族自治州,16.29589041
48,包头市,36.70684932
49,北京市,226.4054795
50,北海市,20.70684932
51,十堰市,19.48219178
52,南京市,142.7808219
53,南充市,30.64657534
54,南宁市,114.9506849
55,南平市,19.40821918
56,南昌市,112.3726027
57,南通市,79.15068493
58,南阳市,62.3890411
59,博尔塔拉蒙古自治州,3.778082192
60,厦门市,98.05753425
61,双鸭山市,5.698630137
62,台州市,59.35068493
63,合肥市,122.9863014
64,吉安市,28.61369863
65,吉林市,27.56164384
66,吐鲁番市,1.093150685
67,吕梁市,39.46849315
68,吴忠市,8.101369863
69,周口市,42.76438356
70,呼伦贝尔市,23.11780822
71,呼和浩特市,86.40273973
72,和田地区,3.953424658
73,咸宁市,15.09589041
74,咸阳市,58.31780822
75,哈密市,5.843835616
76,哈尔滨市,107.4383562
