Unnamed: 0,名称,类别,类型,申报单位,保护单位,Longitude,Latitude,Converted_Longitude,Converted_Latitude
0,苗族古歌,民间文学,新增项目,贵州省台江县,台江县非物质文化遗产保护中心,119.3205282,26.05852815,119.3091714,26.05565806
1,苗族古歌,民间文学,新增项目,贵州省黄平县,黄平县非物质文化遗产保护中心,107.9235478,26.91128864,107.9129685,26.90904571
2,苗族古歌,民间文学,扩展项目,湖南省花垣县,花垣县非物质文化遗产保护中心,109.4885618,28.57790993,109.4772347,28.57536818
3,苗族古歌（簪汪传）,民间文学,扩展项目,贵州省贵阳市清镇市,清镇市文化馆,106.4807829,26.55843119,106.4704946,26.55591849
4,布洛陀,民间文学,新增项目,广西壮族自治区田阳县,田阳县文化馆,116.1073529,39.94839892,116.0944206,39.94135362
5,遮帕麻和遮咪麻,民间文学,新增项目,云南省梁河县,梁河县文化馆,98.30476981,24.81084186,98.29800519,24.80764753
6,牡帕密帕,民间文学,新增项目,云南省思茅市,澜沧拉祜族自治县文化馆,99.93858828,22.56183192,99.93124921,22.55892896
7,刻道,民间文学,新增项目,贵州省施秉县,施秉县非物质文化遗产保护中心,108.1304398,27.03982205,108.1196309,27.03675905
8,白蛇传传说,民间文学,新增项目,江苏省镇江市,镇江市非物质文化遗产保护中心,119.4343136,32.22025669,119.422375,32.21609897
9,白蛇传传说,民间文学,新增项目,浙江省杭州市,杭州市文化馆（杭州市非物质文化遗产保护中心）,120.177442,30.25790403,120.1662039,30.25458171
10,梁祝传说,民间文学,新增项目,江苏省宜兴市,宜兴市华夏梁祝文化研究会,119.831606,31.34295662,119.820177,31.33938794
11,梁祝传说,民间文学,新增项目,浙江省宁波市,宁波梁祝文化园管理有限公司,121.6283105,29.861032,121.6176411,29.85802172
12,梁祝传说,民间文学,新增项目,浙江省杭州市,杭州市文化馆（杭州市非物质文化遗产保护中心）,120.177442,30.25790403,120.1662039,30.25458171
13,梁祝传说,民间文学,新增项目,浙江省上虞市,绍兴市上虞区文化馆（区非物质遗产保护中心）,120.8625858,30.03792992,120.8520269,30.03428193
14,梁祝传说,民间文学,新增项目,山东省济宁市,济宁市梁祝文化研究会,116.5936123,35.42017739,116.5817094,35.41494756
15,梁祝传说,民间文学,新增项目,河南省汝南县,汝南县文化馆,114.3670596,33.00618844,114.3549089,33.00157417
16,孟姜女传说,民间文学,新增项目,山东省淄博市,淄博市淄川区公共文化服务中心（加挂淄川区文化馆、淄川区美术馆牌子）,117.9891181,36.6440964,117.9767881,36.63774508
17,孟姜女传说,民间文学,扩展项目,河北省秦皇岛市,秦皇岛市山海关区文化馆,119.7688638,39.99253137,119.7565713,39.98487277
18,孟姜女传说,民间文学,扩展项目,湖南省津市市,津市市文化馆（津市市美术馆）,111.8859547,29.63840913,111.8739103,29.63536177
19,孟姜女传说,民间文学,扩展项目,山东省莒县,莒县文化馆,118.8471781,35.57437754,118.8351721,35.56879389
20,孟姜女传说,民间文学,扩展项目,山东省莱芜市莱城区,济南市文化馆（济南市非物质文化遗产保护中心、济南市艺术创作研究院）,116.914948,36.6788429,116.9029089,36.67273813
21,董永传说,民间文学,新增项目,山西省万荣县,万荣县文化馆,110.8445761,35.4211088,110.8324762,35.41578453
22,董永传说,民间文学,新增项目,江苏省东台市,东台市文化馆,120.3265371,32.87271631,120.3152578,32.86869206
23,董永传说,民间文学,新增项目,河南省武陟县,武陟县董永文化服务中心,113.4083958,35.10583845,113.3954211,35.09994901
24,董永传说,民间文学,新增项目,湖北省孝感市,孝感市群众艺术馆（孝感市非物质文化遗产保护中心）,113.926305,30.93366497,113.914294,30.93031313
25,董永传说,民间文学,扩展项目,江苏省金坛市,常州市金坛区文化馆,119.590209,31.74842099,119.578697,31.74491504
26,董永传说,民间文学,扩展项目,山东省博兴县,博兴县文化馆,118.1360551,37.14509132,118.1233526,37.13861843
27,董永传说,民间文学,扩展项目,江苏省丹阳市,丹阳市文化馆,119.5910028,31.99547617,119.5794766,31.9920171
28,西施传说,民间文学,新增项目,浙江省诸暨市,诸暨市博物馆,120.2534083,29.71493465,120.2425683,29.71108518
29,济公传说,民间文学,新增项目,浙江省天台县,台州市天台山文化研究会,121.0405244,29.15075652,121.0296417,29.14769886
30,满族说部,民间文学,新增项目,吉林省,吉林省艺术研究院（吉林省文化行业特有工种职业技能鉴定站、吉林省东北二人转博物馆、吉林省非物质文化遗产保护中心）,125.3004573,43.88252762,125.2876288,43.87388575
31,满族说部（孙吴县满语故事）,民间文学,扩展项目,黑龙江省黑河市孙吴县,孙吴县文化馆,127.3423877,49.43145061,127.3286559,49.42292731
32,河西宝卷,民间文学,新增项目,甘肃省武威市凉州区,凉州区文化馆,102.6403385,37.94054393,102.6320951,37.93432195
33,河西宝卷,民间文学,新增项目,甘肃省酒泉市肃州区,肃州区文化馆,98.51756797,39.74749356,98.51058119,39.74044963
34,宝卷（靖江宝卷）,民间文学,扩展项目,江苏省靖江市,靖江市文化馆,120.2805725,32.01960004,120.2694531,32.015674
