,序号,名称,省份,类别,类型,申报单位,保护单位,Longitude,Latitude,WGS84Longitude,WGS84Latitude
0,1,吴歌,上海市,民间文学,扩展项目,上海市青浦区,上海市青浦区文化馆（上海青浦画院）,121.1317646,31.15637183,121.1206106,31.15252896
1,2,谚语（沪谚）,上海市,民间文学,新增项目,上海市闵行区,上海市闵行区浦江镇文化体育事业发展中心,121.5352295,31.06959582,121.5244212,31.06581333
2,3,江南丝竹,上海市,传统音乐,扩展项目,上海市,上海市群众艺术馆（上海市非物质文化遗产保护中心）,121.430968,31.19205788,121.4199111,31.1876785
3,4,码头号子（上海港码头号子）,上海市,传统音乐,新增项目,上海市浦东新区,上海市浦东新区人民政府塘桥街道办事处,121.5313888,31.22085746,121.5205082,31.2170491
4,5,码头号子（上海港码头号子）,上海市,传统音乐,新增项目,上海市杨浦区,上海市杨浦区人民政府定海路街道办事处,121.5555596,31.28518505,121.54488,31.28101235
5,6,琵琶艺术（瀛洲古调派）,上海市,传统音乐,新增项目,上海市崇明县,上海市崇明区文化馆,121.4366623,31.62473009,121.4255792,31.62017078
6,7,琵琶艺术（浦东派）,上海市,传统音乐,新增项目,上海市南汇区,上海市浦东新区文化艺术指导中心（上海市浦东新区群众文化艺术馆、上海市浦东新区电影发行放映管理站）,121.5791111,31.25421403,121.5684499,31.25010378
7,8,锣鼓艺术（泗泾十锦细锣鼓）,上海市,传统音乐,新增项目,上海市松江区,上海市松江区泗泾镇社区党群服务中心（上海市松江区泗泾镇文化体育服务中心）,121.287267,31.12201388,121.2762654,31.11824104
8,9,道教音乐（上海道教音乐）,上海市,传统音乐,新增项目,上海市道教协会,上海市道教协会,121.239523,31.01299063,121.2285852,31.00918255
9,10,崇明山歌,上海市,传统音乐,新增项目,上海市崇明区,上海市崇明区文化馆,121.4366623,31.62473009,121.4255792,31.62017078
10,11,二胡艺术（江南孙氏二胡艺术）,上海市,传统音乐,新增项目,上海市奉贤区,上海市奉贤区文化馆（上海市奉贤区非物质文化遗产保护和传承中心）,121.4824986,30.92275766,121.4714961,30.91899633
11,12,龙舞（舞草龙）,上海市,传统舞蹈,扩展项目,上海市松江区,上海市松江区叶榭镇社区党群服务中心（上海市松江区叶榭镇文化体育服务中心）,121.3120174,30.94651413,121.3011326,30.94238279
12,13,龙舞（浦东绕龙灯）,上海市,传统舞蹈,扩展项目,上海市浦东新区,上海市浦东新区三林镇文化服务中心,121.5090972,31.15089709,121.4980946,31.14732825
13,14,狮舞（马桥手狮舞）,上海市,传统舞蹈,扩展项目,上海市闵行区,上海市闵行区马桥镇文化体育事业发展中心,121.4114928,31.0761668,121.4003409,31.07218262
14,15,滚灯（奉贤滚灯）,上海市,传统舞蹈,扩展项目,上海市奉贤区,上海市奉贤区柘林镇社区党群服务中心（上海市奉贤区柘林镇文化体育服务中心）,121.471992,30.87741701,121.4609762,30.873448
15,16,昆曲,上海市,传统戏剧,新增项目,上海市,上海昆剧团,121.4709585,31.21536849,121.4599261,31.21118999
16,17,京剧,上海市,传统戏剧,新增项目,上海市,上海京剧院,121.4540615,31.18081705,121.4430745,31.17639339
17,18,越剧,上海市,传统戏剧,新增项目,上海市,上海越剧艺术传习所（上海越剧院）,121.4541314,31.21698715,121.443112,31.21253868
18,19,沪剧,上海市,传统戏剧,新增项目,上海市,上海沪剧艺术传习所（上海沪剧院）,121.458581,31.21597388,121.4475627,31.21157691
19,20,木偶戏（海派木偶戏）,上海市,传统戏剧,扩展项目,上海木偶剧团,上海木偶剧团有限公司,121.4752712,31.23771747,121.464219,31.23361756
20,21,淮剧,上海市,传统戏剧,新增项目,上海淮剧团,上海淮剧艺术传习所（上海淮剧团）,121.4753836,31.23290332,121.4643317,31.22880812
21,22,滑稽戏,上海市,传统戏剧,新增项目,上海滑稽剧团,上海滑稽剧团有限公司,121.4585491,31.24174523,121.4475197,31.23733345
22,23,苏州评弹（苏州评话、苏州弹词）,上海市,曲艺,扩展项目,上海市书场工作者协会,上海市书场工作者协会,121.5005072,31.0846628,121.4894796,31.08108916
23,24,锣鼓书,上海市,曲艺,新增项目,上海市南汇区,上海市浦东新区文化艺术指导中心（上海市浦东新区群众文化艺术馆、上海市浦东新区电影发行放映管理站）,121.5791111,31.25421403,121.5684499,31.25010378
24,25,浦东说书,上海市,曲艺,新增项目,上海市浦东新区,上海市浦东新区北蔡镇文化服务中心,121.5614769,31.17992218,121.5508347,31.17576501
25,26,独脚戏,上海市,曲艺,新增项目,上海市黄浦区,上海独脚戏艺术传承中心（上海市人民滑稽剧团）,121.4924323,31.22012533,121.4813694,31.21637616
26,27,浦东宣卷,上海市,曲艺,新增项目,上海市浦东新区,上海市浦东新区周浦镇文化服务中心,121.5956839,31.11681545,121.5849735,31.11305687
27,28,太极拳（吴氏太极拳）,上海市,"传统体育、
游艺与杂技",扩展项目,上海市,上海鉴泉太极拳社,121.574394,31.10300683,121.5637453,31.0989207
28,29,心意拳（卢氏心意拳）,上海市,"传统体育、
游艺与杂技",扩展项目,上海市普陀区,上海心意六合健身咨询有限公司,121.44485,31.19731986,121.4338387,31.19284215
29,30,精武武术 ,上海市,"传统体育、
游艺与杂技",新增项目,上海市虹口区,上海精武体育总会,121.3478249,31.42507635,121.3367943,31.42075467
